excel_row,no_sap,vendor,rank,classification,vocabulary_status,source,relation,circle_support,taxonomy_support,distinct_po_count,raw_po_item_count,column_u_item_count,raw_po_examples,column_u_examples,circle,taxonomy
12,2020004037,"ABDUL LATIF,MANDOR",9,BORED PILE / PONDASI,EXISTING,ITEM_U,ACTUAL_WORK_CIRCLE_MISSING,False,False,0,0,1,,Upah pasang pondasi,,"Construction Services
Material Supply
Equipment & Plant
Logistic and SC Services | Site Preparation & Demolition
Earthworks & Ground Improvement
Foundation & Piling Works
Concrete & Structural Works
Building & Architectural Works
Façade & Roofing
Mechanical, Electrical & Plumbing Works
Aggregates, Sand & Fill Materials
Architectural & Finishing Materials
Waterproofing, Sealant & Construction Chemicals
Mechanical Materials & Components
Equipment Rental & Fleet Services
Material Handling & Stevedoring | Pembersihan lahan
pembongkaran,
pekerjaan persiapan lokasi.
Galian, timbunan, pemadatan (pek. Tanah)
pemancangan
pembesian, pengecoran,
pasangan dinding,
plafon dan partisi
penyelesaian arsitektural.
skylight, sealant
Mekanikal
material timbunan.
Keramik,
Membrane,
coating,
HVAC component,
Sewa alat dengan/tanpa operator,
Loading-unloading,"
12,2020004037,"ABDUL LATIF,MANDOR",10,HVAC / AIR CONDITIONING,NEW,ITEM_U,CONFIRMED_TAXONOMY,False,True,0,0,1,,Pagar BRC penyekat AHU t=1750mm,,"Construction Services
Material Supply
Equipment & Plant
Logistic and SC Services | Site Preparation & Demolition
Earthworks & Ground Improvement
Foundation & Piling Works
Concrete & Structural Works
Building & Architectural Works
Façade & Roofing
Mechanical, Electrical & Plumbing Works
Aggregates, Sand & Fill Materials
Architectural & Finishing Materials
Waterproofing, Sealant & Construction Chemicals
Mechanical Materials & Components
Equipment Rental & Fleet Services
Material Handling & Stevedoring | Pembersihan lahan
pembongkaran,
pekerjaan persiapan lokasi.
Galian, timbunan, pemadatan (pek. Tanah)
pemancangan
pembesian, pengecoran,
pasangan dinding,
plafon dan partisi
penyelesaian arsitektural.
skylight, sealant
Mekanikal
material timbunan.
Keramik,
Membrane,
coating,
HVAC component,
Sewa alat dengan/tanpa operator,
Loading-unloading,"
12,2020004037,"ABDUL LATIF,MANDOR",11,JALAN / PERKERASAN,EXISTING,ITEM_U,ACTUAL_WORK_CIRCLE_MISSING,False,False,0,0,1,,Upah pasang kanstin,,"Construction Services
Material Supply
Equipment & Plant
Logistic and SC Services | Site Preparation & Demolition
Earthworks & Ground Improvement
Foundation & Piling Works
Concrete & Structural Works
Building & Architectural Works
Façade & Roofing
Mechanical, Electrical & Plumbing Works
Aggregates, Sand & Fill Materials
Architectural & Finishing Materials
Waterproofing, Sealant & Construction Chemicals
Mechanical Materials & Components
Equipment Rental & Fleet Services
Material Handling & Stevedoring | Pembersihan lahan
pembongkaran,
pekerjaan persiapan lokasi.
Galian, timbunan, pemadatan (pek. Tanah)
pemancangan
pembesian, pengecoran,
pasangan dinding,
plafon dan partisi
penyelesaian arsitektural.
skylight, sealant
Mekanikal
material timbunan.
Keramik,
Membrane,
coating,
HVAC component,
Sewa alat dengan/tanpa operator,
Loading-unloading,"
12,2020004037,"ABDUL LATIF,MANDOR",12,MARKETING / BRANDING / COMMUNICATION,NEW,ITEM_U,ACTUAL_WORK_CIRCLE_MISSING,False,False,0,0,1,,Ceiling drop HPL L=60cm+signage,,"Construction Services
Material Supply
Equipment & Plant
Logistic and SC Services | Site Preparation & Demolition
Earthworks & Ground Improvement
Foundation & Piling Works
Concrete & Structural Works
Building & Architectural Works
Façade & Roofing
Mechanical, Electrical & Plumbing Works
Aggregates, Sand & Fill Materials
Architectural & Finishing Materials
Waterproofing, Sealant & Construction Chemicals
Mechanical Materials & Components
Equipment Rental & Fleet Services
Material Handling & Stevedoring | Pembersihan lahan
pembongkaran,
pekerjaan persiapan lokasi.
Galian, timbunan, pemadatan (pek. Tanah)
pemancangan
pembesian, pengecoran,
pasangan dinding,
plafon dan partisi
penyelesaian arsitektural.
skylight, sealant
Mekanikal
material timbunan.
Keramik,
Membrane,
coating,
HVAC component,
Sewa alat dengan/tanpa operator,
Loading-unloading,"
12,2020004037,"ABDUL LATIF,MANDOR",13,SAFETY / K3,EXISTING,ITEM_U,ACTUAL_WORK_CIRCLE_MISSING,False,False,0,0,1,,Material & Upah QHSE,,"Construction Services
Material Supply
Equipment & Plant
Logistic and SC Services | Site Preparation & Demolition
Earthworks & Ground Improvement
Foundation & Piling Works
Concrete & Structural Works
Building & Architectural Works
Façade & Roofing
Mechanical, Electrical & Plumbing Works
Aggregates, Sand & Fill Materials
Architectural & Finishing Materials
Waterproofing, Sealant & Construction Chemicals
Mechanical Materials & Components
Equipment Rental & Fleet Services
Material Handling & Stevedoring | Pembersihan lahan
pembongkaran,
pekerjaan persiapan lokasi.
Galian, timbunan, pemadatan (pek. Tanah)
pemancangan
pembesian, pengecoran,
pasangan dinding,
plafon dan partisi
penyelesaian arsitektural.
skylight, sealant
Mekanikal
material timbunan.
Keramik,
Membrane,
coating,
HVAC component,
Sewa alat dengan/tanpa operator,
Loading-unloading,"
13,2020013847,ABDUL RACHMAN PRATAMA,1,BEKISTING / FORMWORK,EXISTING,PO+ITEM_U,ACTUAL_WORK_CIRCLE_MISSING,False,False,1,4,1,Upah bongkar pasang bekisting multiplek,Upah bongkar pasang bekisting multiplek,,"Construction Services | Site Preparation & Demolition
Concrete & Structural Works | pembongkaran,
pekerjaan persiapan lokasi.
Bekisting,"
14,2020014045,ABDUL RAHMAN,1,EQUIPMENT / RENTAL,EXISTING,ITEM_U,CONFIRMED_TAXONOMY,False,True,0,0,1,,Sewa Alat Berat (JK),,"Equipment & Plant | Equipment Rental & Fleet Services | Sewa alat dengan/tanpa operator,"
15,2020009818,ABDUL ROZAQ,1,EQUIPMENT / RENTAL,EXISTING,ITEM_U,CONFIRMED_TAXONOMY,False,True,0,0,1,,Sewa Alat Berat,,"Construction Services
Equipment & Plant
Corporate Support Services | Site Preparation & Demolition
Equipment Rental & Fleet Services
Corporate Transport & Vehicle Rental | Pembersihan lahan
Sewa alat dengan/tanpa operator,
Sewa kendaraan, driver service, shuttle karyawan, fleet lease, dan transport korporat."
15,2020009818,ABDUL ROZAQ,2,MEKANIKAL,EXISTING,ITEM_U,ACTUAL_WORK_CIRCLE_MISSING,False,False,0,0,1,,Sewa batch pump,,"Construction Services
Equipment & Plant
Corporate Support Services | Site Preparation & Demolition
Equipment Rental & Fleet Services
Corporate Transport & Vehicle Rental | Pembersihan lahan
Sewa alat dengan/tanpa operator,
Sewa kendaraan, driver service, shuttle karyawan, fleet lease, dan transport korporat."
15,2020009818,ABDUL ROZAQ,3,SAFETY / K3,EXISTING,ITEM_U,ACTUAL_WORK_CIRCLE_MISSING,False,False,0,0,1,,Petugas K3,,"Construction Services
Equipment & Plant
Corporate Support Services | Site Preparation & Demolition
Equipment Rental & Fleet Services
Corporate Transport & Vehicle Rental | Pembersihan lahan
Sewa alat dengan/tanpa operator,
Sewa kendaraan, driver service, shuttle karyawan, fleet lease, dan transport korporat."
16,2020012462,ABDULLAH RACHMAN,1,EQUIPMENT / RENTAL,EXISTING,TAXONOMY_FALLBACK,CONFIRMED_TAXONOMY,False,True,0,0,0,,,,"Equipment & Plant | Equipment Rental & Fleet Services | Sewa alat dengan/tanpa operator,"
17,2020012635,ABHICADRA GEMILANG,1,LANDSCAPING,EXISTING,ITEM_U,ACTUAL_WORK_CIRCLE_MISSING,False,False,0,0,2,,Pek. Landscape_JK_LS | Pek. Softscape,,"Construction Services | Landscaping & External Works | Softscape,
pekerjaan luar bangunan."
21,2020011835,ABS GADING,1,PEKERJAAN TANAH / EARTHWORKS,EXISTING,PO+ITEM_U,ACTUAL_WORK_CIRCLE_MISSING,False,False,2,9,3,Galian Struktur dg Kedalaman 0-2 m' | Galian Struktur dg Kedalaman 2-4 m' | Granular Backfill (MUT sisi dalam),Galian Struktur dg Kedalaman 0-2 m' | Galian Struktur dg Kedalaman 2-4 m' | Granular Backfill (MUT sisi dalam),,"Construction Services
Material Supply | Earthworks & Ground Improvement
Concrete & Structural Works
Aggregates, Sand & Fill Materials | Galian, timbunan, pemadatan (pek. Tanah)
Bekisting,
Batu pecah,"
21,2020011835,ABS GADING,2,BEKISTING / FORMWORK,EXISTING,PO+ITEM_U,ACTUAL_WORK_CIRCLE_MISSING,False,False,2,2,2,Pasang+bkr.bekisting,Pasang+bkr.bekisting | Bekisting Box Culvert & Drainase,,"Construction Services
Material Supply | Earthworks & Ground Improvement
Concrete & Structural Works
Aggregates, Sand & Fill Materials | Galian, timbunan, pemadatan (pek. Tanah)
Bekisting,
Batu pecah,"
21,2020011835,ABS GADING,3,LANDSCAPING,EXISTING,PO+ITEM_U,ACTUAL_WORK_CIRCLE_MISSING,False,False,1,1,1,Penanaman Biji Vegetasi dengen Teknik Ta,Penanaman Biji Vegetasi dengen Teknik Ta,,"Construction Services
Material Supply | Earthworks & Ground Improvement
Concrete & Structural Works
Aggregates, Sand & Fill Materials | Galian, timbunan, pemadatan (pek. Tanah)
Bekisting,
Batu pecah,"
21,2020011835,ABS GADING,4,PRECAST / BETON PRACETAK,EXISTING,ITEM_U,ACTUAL_WORK_CIRCLE_MISSING,False,False,0,0,1,,Bekisting Box Culvert & Drainase,,"Construction Services
Material Supply | Earthworks & Ground Improvement
Concrete & Structural Works
Aggregates, Sand & Fill Materials | Galian, timbunan, pemadatan (pek. Tanah)
Bekisting,
Batu pecah,"
22,2020013840,ABU BAKAR WAILUSSY,1,EQUIPMENT / RENTAL,EXISTING,ITEM_U,CONFIRMED_TAXONOMY,False,True,0,0,2,,Sewa Excavator 200 | Sewa Excavator mini,,"Equipment & Plant | Equipment Rental & Fleet Services | Sewa alat dengan/tanpa operator,"
23,2020010148,ABUDIYONO,1,ELEKTRIKAL,EXISTING,PO+ITEM_U,ACTUAL_WORK_CIRCLE_MISSING,False,False,1,1,1,Pek. Operasional Cost TC & Genset (JK),Pek. Operasional Cost TC & Genset (JK),,"Equipment & Plant | Equipment Rental & Fleet Services | Sewa alat dengan/tanpa operator,"
23,2020010148,ABUDIYONO,2,EQUIPMENT / RENTAL,EXISTING,ITEM_U,CONFIRMED_TAXONOMY,False,True,0,0,1,,Beban Sewa Alat External,,"Equipment & Plant | Equipment Rental & Fleet Services | Sewa alat dengan/tanpa operator,"
23,2020010148,ABUDIYONO,3,LOGISTICS / TRANSPORT,EXISTING,ITEM_U,ACTUAL_WORK_CIRCLE_MISSING,False,False,0,0,1,,Beban Peralatan Mobilisasi,,"Equipment & Plant | Equipment Rental & Fleet Services | Sewa alat dengan/tanpa operator,"
24,2020014578,ACENG KURNIA,1,BAHAN BANGUNAN,EXISTING,PO+ITEM_U,ACTUAL_WORK_CIRCLE_MISSING,False,False,4,6,7,"Pas. Batu Belah dengan Mortar tipe N (5, | Pekerjaan Siaran dengan mortar jenis PC- | 1 m3 Pas. Batu Belah dengan Mortar tipe | Pas. Batu Belah dengan Mortar tipe S (12","Pas. Batu Belah dengan Mortar tipe S (12 | Plesteran tebal 1,5 cm, dengan mortar ti | Siaran dengan mortar jenis PC-PP tipe M | 1 m3 Pas. Batu Belah dengan Mortar tipe | 1 M3 Pasangan Batu Belah Dengan Mortar T",,"Construction Services
Material Supply | Site Preparation & Demolition
Earthworks & Ground Improvement
Concrete & Structural Works
Building & Architectural Works
Cement, Concrete & Grout Materials
Aggregates, Sand & Fill Materials
Plumbing, Piping & Sanitary Materials | pembongkaran,
Galian, timbunan, pemadatan (pek. Tanah)
Bekisting,
pembesian, pengecoran,
pasangan dinding,
penyelesaian arsitektural.
mortar,
tanah urug,
Pipa,"
24,2020014578,ACENG KURNIA,2,STRUKTUR BETON / CONCRETE,EXISTING,PO+ITEM_U,CONFIRMED_TAXONOMY,False,True,2,3,3,"Pembesian pelat untuk besi beton 12 mm, | Beton mutu rendah fc 10 Mpa, slump (100+ | Bekisting lantai beton biasa dengan mult","Pembesian pelat untuk besi beton 12 mm, | Beton mutu rendah fc 10 Mpa, slump (100+ | Bekisting lantai beton biasa dengan mult",,"Construction Services
Material Supply | Site Preparation & Demolition
Earthworks & Ground Improvement
Concrete & Structural Works
Building & Architectural Works
Cement, Concrete & Grout Materials
Aggregates, Sand & Fill Materials
Plumbing, Piping & Sanitary Materials | pembongkaran,
Galian, timbunan, pemadatan (pek. Tanah)
Bekisting,
pembesian, pengecoran,
pasangan dinding,
penyelesaian arsitektural.
mortar,
tanah urug,
Pipa,"
24,2020014578,ACENG KURNIA,3,PEKERJAAN TANAH / EARTHWORKS,EXISTING,PO+ITEM_U,ACTUAL_WORK_CIRCLE_MISSING,False,False,2,2,3,Urukan Kembali Galian Tanah (0 s.d. 200 | Galian tanah biasa C,Galian tanah biasa | Urukan Kembali Galian Tanah (0 s.d. 200 | Galian tanah biasa C,,"Construction Services
Material Supply | Site Preparation & Demolition
Earthworks & Ground Improvement
Concrete & Structural Works
Building & Architectural Works
Cement, Concrete & Grout Materials
Aggregates, Sand & Fill Materials
Plumbing, Piping & Sanitary Materials | pembongkaran,
Galian, timbunan, pemadatan (pek. Tanah)
Bekisting,
pembesian, pengecoran,
pasangan dinding,
penyelesaian arsitektural.
mortar,
tanah urug,
Pipa,"
24,2020014578,ACENG KURNIA,4,BEKISTING / FORMWORK,EXISTING,PO+ITEM_U,ACTUAL_WORK_CIRCLE_MISSING,False,False,1,1,1,Bekisting lantai beton biasa dengan mult,Bekisting lantai beton biasa dengan mult,,"Construction Services
Material Supply | Site Preparation & Demolition
Earthworks & Ground Improvement
Concrete & Structural Works
Building & Architectural Works
Cement, Concrete & Grout Materials
Aggregates, Sand & Fill Materials
Plumbing, Piping & Sanitary Materials | pembongkaran,
Galian, timbunan, pemadatan (pek. Tanah)
Bekisting,
pembesian, pengecoran,
pasangan dinding,
penyelesaian arsitektural.
mortar,
tanah urug,
Pipa,"
