excel_row,code,severity,detail
417,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: BSI GROUP INDONESIA
418,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: BSI GROUP INDONESIA
423,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: BUDI
436,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: BUMI PRIMA KONSTRUKSI
437,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: BUMI PRIMA KONSTRUKSI
466,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: HERMAN
474,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: CEMINDO GEMILANG
475,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: CEMINDO GEMILANG
478,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: CENTRAL INOVASI DIGITAL
479,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: CENTRAL INOVASI DIGITAL
507,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: CITAS OTIS ELEVATOR
508,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: CITAS OTIS ELEVATOR
518,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: CITRA SOKRASANA INTI
519,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: CITRA SOKRASANA INTI
598,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: DAN LAW OFFICE
599,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: DAN LAW OFFICE
645,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: DEVY MEYDITA SARI
646,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: DEVY MEYDITA SARI
657,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: DIDIK SETIAWAN
658,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: DIDIK SETIAWAN
667,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: DINAR ENERGI UTAMA
668,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: DINAR ENERGI UTAMA
670,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: DJITO
671,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: DJITO
787,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: FARRASINDO PERKASA
